epoch,train_accuracy,val_accuracy,epoch_training_loss,confusion_matrix,precision,recall,f1_score
1,0.36666667461395264,0.3333333432674408,1.5626963376998901,"[[0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[0.0, 0.0, 0.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.8571428571428571, 0.0, 0.0]"
2,0.3333333134651184,0.2222222238779068,1.457268476486206,"[[0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0], [0, 0, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0]"
